id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
2b9b471d912069b3,be9d259be012e8a4,6,402ea3b5ee233852,d4c9dcd330403612,L,W,Middleweight,Middleweight Bout,0,Submission,Triangle Choke From Bottom,1,232,3 Rnd (5-5-5),232
7ca10988d77d0b4f,be9d259be012e8a4,7,0749d968e932df53,3b9f723e2720a238,W,L,Welterweight,Welterweight Bout,0,Decision - Unanimous,Jackie Denkin 27 - 30. Larry Landless 27 - 30. John Newburg 27 - 30.,3,300,3 Rnd (5-5-5),900
02d7776460d6b702,be9d259be012e8a4,8,7a703c565ccaa18f,b1a3e0aca758b322,W,L,Middleweight,Middleweight Bout,0,KO/TKO,Punch to Head At Distance,1,41,3 Rnd (5-5-5),41
c2df05f52e20b892,be9d259be012e8a4,9,8bdac25ce0bb874d,36df8e119aec6175,W,L,Women's Bantamweight,Strikeforce Women's 135 lbs. Title Bout,0,Submission,Armbar On Ground,1,54,5 Rnd (5-5-5-5-5),54
87790788d1bb3b75,53e533db1b8e9712,1,7339d340aa2889cb,98f6da59d765ec94,W,L,Welterweight,Welterweight Bout,0,KO/TKO,Punch to Head At Distance,1,45,3 Rnd (5-5-5),45
2aff05a835ed715e,53e533db1b8e9712,2,b8592b4a383696cd,92aafa8f4b26269b,W,L,Bantamweight,Bantamweight Bout,0,Submission,Rear Naked Choke,1,69,3 Rnd (5-5-5),69
aa1db19806dfd62e,53e533db1b8e9712,3,fd5b6598a3b70c0a,fea8acf9bfcf09ec,W,L,Welterweight,Welterweight Bout,0,KO/TKO,Punch to Head In Clinch,1,250,3 Rnd (5-5-5),250
147e0b1c64cb7ef0,53e533db1b8e9712,4,893d51aaf024eddd,81801f57bd0a7c41,L,W,Featherweight,Featherweight Bout,0,Decision - Unanimous,Richard Bertrand 28 - 29. Jeff Blatnick 28 - 29. Doug Crosby 28 - 29.,3,300,3 Rnd (5-5-5),900
de1124dba8c1a1b0,53e533db1b8e9712,5,0d506315895efffc,5431dccc09118234,W,L,Welterweight,Welterweight Bout,0,Decision - Unanimous,Richard Bertrand 28 - 29. Jeff Blatnick 28 - 29. Doug Crosby 28 - 29.,3,300,3 Rnd (5-5-5),900
5af6a54d7e0f2b7f,53e533db1b8e9712,6,a26198ba5093147e,e5c9de15bb58b1c6,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Richard Bertrand 28 - 29. Doug Crosby 27 - 30. Jeff Blatnick 28 - 29.,3,300,3 Rnd (5-5-5),900
3367081258d6ae12,53e533db1b8e9712,7,53278852bcd91e11,88a9bc81271ccd89,L,W,Light Heavyweight,Light Heavyweight Bout,0,Submission,Armbar On Ground,2,74,3 Rnd (5-5-5),374
307b12b9f08a4cbf,53e533db1b8e9712,8,d247691a6c0e9034,07225ba28ae309b6,W,L,Featherweight,Featherweight Bout,1,KO/TKO,Punch to Head At Distance,1,160,3 Rnd (5-5-5),160
304fc030ee6dd9ee,53e533db1b8e9712,9,98b80a717b9bda17,27d65e9d0fba61ea,W,L,Light Heavyweight,Light Heavyweight Bout,0,Decision - Unanimous,Doug Crosby 28 - 29. Jeff Blatnick 27 - 30. Sal D'amato 27 - 30.,3,300,3 Rnd (5-5-5),900
c97d0a476c2e7cb5,53e533db1b8e9712,10,2b93ebd9f5417ad2,579fcdfcabd23a7b,W,L,Middleweight,Middleweight Bout,0,Decision - Unanimous,Jeff Blatnick 28 - 29. Doug Crosby 28 - 29. Sal D'amato 28 - 29.,3,300,3 Rnd (5-5-5),900
9890835f4c1c6b75,53e533db1b8e9712,11,80eacd4da0617c57,8a304bfd6bf04a57,L,W,Flyweight,UFC Flyweight Title Bout,0,Decision - Split,Jeff Blatnick 47 - 48. Richard Bertrand 48 - 47. Doug Crosby 46 - 49.,5,300,5 Rnd (5-5-5-5-5),1500
8af511cc6e6a9678,53e533db1b8e9712,12,07f72a2a7591b409,0ee783aa00e468f0,W,L,Light Heavyweight,UFC Light Heavyweight Title Bout,1,Submission,Keylock From Side Control,4,54,5 Rnd (5-5-5-5-5),954
e0a69c1f4a019727,6cbb7661c3258617,1,f59e9e49ef85b469,960d6cae8879ba2b,L,W,Featherweight,Featherweight Bout,0,KO/TKO,Punch to Head At Distance,1,23,3 Rnd (5-5-5),23
ddf768753c8030c1,6cbb7661c3258617,2,322a56923b396b4d,fd55393021a8c255,L,W,Catch Weight,Catch Weight Bout,0,Submission,Rear Naked Choke,1,214,3 Rnd (5-5-5),214
e34d313fbe1c28f1,6cbb7661c3258617,3,6809c31286b08d97,0c6d9ea8306c029e,L,W,Middleweight,Middleweight Bout,0,Decision - Split,Howard Hughes 27 - 30. Doug Crosby 29 - 28. Chris Watts 28 - 29.,3,300,3 Rnd (5-5-5),900
