id,name,promotion,date,venue,location,event_order
481,CWFC 63: Cage Warriors 63,CW,2013-12-31,The Helix,"Dublin, Ireland",481
482,UFN 34: Saffiedine vs. Lim,UFC,2014-01-04,Marina Bay Sands,"Marina Bay, Singapore",482
483,UFN 35: Rockhold vs. Philippou,UFC,2014-01-15,Arena at Gwinnett Center,"Duluth, Georgia, USA",483
484,WSOF 8: Gaethje vs. Patishnock,WSOF,2014-01-18,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",484
485,UFC on Fox 10: Henderson vs. Thomson,UFC,2014-01-25,United Center,"Chicago, Illinois, USA",485
486,UFC 169: Barao vs. Faber II,UFC,2014-02-01,Prudential Center,"Newark, New Jersey, USA",486
488,UFN 36: Machida vs. Mousasi,UFC,2014-02-15,Arena Jaraguá,"Jaraguá do Sul, Santa Catarina, Brazil",487
487,CWFC 64: Cage Warriors 64,CW,2014-02-15,The Forum,"London, England",488
489,UFC 170: Rousey vs. McMann,UFC,2014-02-22,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",489
490,Bellator 110: Bellator CX,BELLATOR,2014-02-28,Mohegan Sun,"Uncasville, Connecticut, USA",490
491,TUF China: The Ultimate Fighter China Finale,UFC,2014-03-01,CotaiArena,"Macau, China",491
492,CWFC 65: Cage Warriors 65,CW,2014-03-01,The Helix,"Dublin, Ireland",492
493,Bellator 111: Bellator CXI,BELLATOR,2014-03-07,WinStar World Casino,"Thackerville, Oklahoma, USA",493
494,UFN 37: Gustafsson vs. Manuwa,UFC,2014-03-08,The O2 Arena,"London, England",494
495,Bellator 112: Bellator CXII,BELLATOR,2014-03-13,The Horseshoe,"Hammond, Indiana, USA",495
496,UFC 171: Hendricks vs. Lawler,UFC,2014-03-15,American Airlines Center,"Dallas, Texas, USA",496
497,Bellator 113: Bellator CXIII,BELLATOR,2014-03-21,Kansas Star Arena,"Mulvane, Kansas, USA",497
581,KSW 26: Materla vs Silva 3,KSW,2014-03-22,Torwar Hall,"Warsaw, Poland",498
498,CWFC 66: Cage Warriors 66,CW,2014-03-22,Ballerup Super Arena,"Ballerup, Denmark",499
499,UFN 38: Shogun vs. Henderson 2,UFC,2014-03-23,Ginásio Nélio Dias,"Natal, Brazil",500
501,CWFN 10: Cage Warriors Fight Night 10,CW,2014-03-28,King Hussein Boxing Arena,"Amman, Jordan",501
500,Bellator 114: Bellator CXIV,BELLATOR,2014-03-28,Maverik Center,"West Valley City, Utah, USA",502
502,WSOF 9: Carl vs. Palhares,WSOF,2014-03-29,Hard Rock Hotel & Casino,"Paradise, Nevada, USA",503
503,Bellator 115: Bellator CXV,BELLATOR,2014-04-04,Reno Events Center,"Reno, Nevada, USA",504
504,UFN 39: Nogueira vs. Nelson,UFC,2014-04-11,du Arena,"Abu Dhabi, United Arab Emirates",505
505,Bellator 116: Bellator CXVI,BELLATOR,2014-04-11,Pechanga Resort & Casino,"Temecula, California, USA",506
506,CWFC 67: Cage Warriors 67,CW,2014-04-12,The LC,"Swansea, Wales",507
507,TUF Nations Finale: Bisping vs. Kennedy,UFC,2014-04-16,Colisée Pepsi,"Quebec City, Quebec, Canada",508
508,CWFN 11: Cage Warriors Fight Night 11,CW,2014-04-18,King Hussein Boxing Arena,"Amman, Jordan",509
509,Bellator 117: Bellator CXVII,BELLATOR,2014-04-18,Mid-America Center,"Council Bluffs, Iowa, USA",510
510,UFC on Fox 11: Werdum vs. Browne,UFC,2014-04-19,Amway Center,"Orlando, Florida, USA",511
511,UFC 172: Jones vs. Teixeira,UFC,2014-04-26,Baltimore Arena,"Baltimore, Maryland, USA",512
512,Bellator 118: Bellator CXVIII,BELLATOR,2014-05-02,Revel Atlantic City,"Atlantic City, New Jersey, USA",513
514,Bellator 119: Bellator CXIX,BELLATOR,2014-05-09,Casino Rama,"Rama, Ontario, Canada",514
515,UFC Fight Night 40: Brown vs. Silva,UFC,2014-05-10,U.S. Bank Arena,"Cincinnati, Ohio, USA",515
516,Bellator 120: Rampage vs. King Mo,BELLATOR,2014-05-17,Landers Center,"Southaven, Mississippi, USA",516
582,KSW 27: Cage Time,KSW,2014-05-17,Ergo Arena,"Gdansk, Poland",517
517,UFC 173: Barão vs. Dillashaw,UFC,2014-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",518
518,UFC Fight Night 41: Munoz vs. Mousasi,UFC,2014-05-31,O2 World,"Berlin, Germany",519
519,TUF Brazil 3 Finale: Miocic vs. Maldonado,UFC,2014-05-31,Ginásio do Ibirapuera,"São Paulo, Brazil",520
520,Bellator 121: Bellator 121,BELLATOR,2014-06-06,WinStar World Casino,"Thackerville, Oklahoma, USA",521
521,CWFC 69: Super Saturday,CW,2014-06-07,The Forum,"London, England",522
522,UFC Fight Night 42: Henderson vs. Khabilov,UFC,2014-06-07,Tingley Coliseum,"Albuquerque, New Mexico, USA",523
523,UFC 174: Johnson vs. Bagautinov,UFC,2014-06-14,Rogers Arena,"Vancouver, British Columbia, Canada",524
524,WSOF 10: Branch vs. Taylor,WSOF,2014-06-21,Hard Rock Hotel & Casino,"Las Vegas, Nevada, USA",525
525,UFC Fight Night 43: Te Huna vs. Marquardt,UFC,2014-06-28,Vector Arena,"Auckland, New Zealand",526
526,UFC Fight Night 44: Swanson vs. Stephens,UFC,2014-06-28,AT&T Center,"San Antonio, Texas, USA",527
528,UFC 175: Weidman vs. Machida,UFC,2014-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",528
527,WSOF 11: Gaethje vs. Newell,WSOF,2014-07-05,Ocean Center,"Daytona, Florida, USA",529
529,TUF 19 Finale: The Ultimate Fighter 19 Finale,UFC,2014-07-06,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",530
530,UFC Fight Night 45: Cerrone vs. Miller,UFC,2014-07-16,Revel Casino,"Atlantic City, New Jersey, USA",531
531,UFC Fight Night 46: McGregor vs. Brandao,UFC,2014-07-19,The O2,"Dublin, Ireland",532
532,Bellator 122: Bellator CXXII,BELLATOR,2014-07-25,Pechanga Resort and Casino,"Temecula, California, USA",533
533,UFC on Fox 12: Lawler vs. Brown,UFC,2014-07-26,SAP Center,"San Jose, California, USA",534
534,WSOF 12: Palomino vs. Gonzalez,WSOF,2014-08-15,Hard Rock Hotel & Casino,"Las Vegas, Nevada, USA",535
536,CWFC 70: Cage Warriors 70,CW,2014-08-16,The Helix,"Dublin, Ireland",536
535,UFC Fight Night 47: Bader vs. St. Preux,UFC,2014-08-16,Cross Insurance Center,"Bangor, Maine, USA",537
537,CWFC 71: Cage Warriors 71,CW,2014-08-22,King Hussein Boxing Arena,"Amman, Jordan",538
539,UFC Fight Night 49: Henderson vs. dos Anjos,UFC,2014-08-23,BOK Center,"Tulsa, Oklahoma, USA",539
538,UFC Fight Night 48: Bisping vs. Le,UFC,2014-08-23,CotaiArena,"Macau, China",540
540,UFC 177: Dillashaw vs. Soto,UFC,2014-08-30,Sleep Train Arena,"Sacramento, California, USA",541
542,UFC Fight Night 50: Jacare vs. Mousasi,UFC,2014-09-05,Foxwoods Resort Casino,"Ledyard, Connecticut, USA",542
541,Bellator 123: Curran vs. Pitbull 2,BELLATOR,2014-09-05,Mohegan Sun Arena,"Uncasville, Connecticut, USA",543
786,Invicta FC 8: Waterson vs. Tamada,INVICTA,2014-09-06,Municipal Auditorium,"Kansas City, Missouri, USA",544
543,Bellator 124: Newton vs. Beltran,BELLATOR,2014-09-12,Compuware Arena,"Plymouth Township, Michigan, USA",545
545,UFC Fight Night 51: Silva vs. Arlovski,UFC,2014-09-13,Ginásio Nilson Nelson,"Brasilia, Brazil",546
546,WSOF 13: Moraes vs. Bollinger,WSOF,2014-09-13,Sands Casino Resort Bethlehem,"Bethlehem, Pennsylvania, USA",547
544,CWFC 72: Cage Warriors 72,CW,2014-09-13,Newport Center,"Newport, Wales",548
547,Bellator 125: Manhoef vs. Marshall,BELLATOR,2014-09-19,Save Mart Center,"Fresno, California, USA",549
548,UFC Fight Night 52: Hunt vs. Nelson,UFC,2014-09-20,Saitama Super Arena,"Saitama, Japan",550
549,Bellator 126: Shlemenko vs. Halsey,BELLATOR,2014-09-26,Grand Canyon University Arena,"Phoenix, Arizona, USA",551
550,UFC 178: Johnson vs. Cariaso,UFC,2014-09-27,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",552
551,Bellator 127: Straus vs. Wilcox,BELLATOR,2014-10-03,Pechanga Resort & Casino,"Temecula, California, USA",553
552,UFC Fight Night 53: Nelson vs. Story,UFC,2014-10-04,Ericsson Globe Arena,"Stockholm, Sweden",554
