id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTE1Mg==,1152,lorenz-larkin-1152,Lorenz Larkin,The Monsoon,1986-09-03,183.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTE1Mw==,1153,jeremy-larsen-1153,Jeremy Larsen,,1986-03-11,177.0,70.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTE1NA==,1154,ilir-latifi-1154,Ilir Latifi,The Sledgehammer,1983-07-28,173.0,75.0,,Striker / Wrestler,Orthodox,Sweden
RmlnaHRlck5vZGU6MTE1NQ==,1155,cung-le-1155,Cung Le,The Human Highlight Reel,1973-05-25,175.3,69.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTE1Ng==,1156,vaughan-lee-1156,Vaughan Lee,Love,1982-11-15,165.0,66.0,,Grappler,Southpaw,England
RmlnaHRlck5vZGU6MTE1Nw==,1157,jesse-lennox-1157,Jesse Lennox,The Ox,1982-03-10,175.0,72.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE1OA==,1158,frank-lester-1158,Frank Lester,The Tank,1984-06-10,180.0,71.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE1OQ==,1159,marcus-levesseur-1159,Marcus Levesseur,The Prospect,1983-07-17,178.0,67.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTE2,116,terry-martin-116,Terry Martin,Dangerous,1980-10-10,173.0,71.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE2MA==,1160,john-lineker-1160,John Lineker,Hands of Stone,1990-01-01,161.0,67.0,,Striker,Orthodox,Brazil
RmlnaHRlck5vZGU6MTE2MQ==,1161,lucio-linhares-1161,Lucio Linhares,Spartan,1973-12-08,189.0,74.0,,,Orthodox,Brazil
RmlnaHRlck5vZGU6MTE2Mg==,1162,hector-lombard-1162,Hector Lombard,Shango,1978-02-02,175.0,73.0,38.0,Striker,Southpaw,Cuba
RmlnaHRlck5vZGU6MTE2MjA=,11620,jenel-lausa-11620,Jenel Lausa,The Demolition Man,1988-08-01,168.0,68.5,,Striker,Orthodox,Philippines
RmlnaHRlck5vZGU6MTE2Mw==,1163,jorge-lopez-1163,Jorge Lopez,Lil' Monster,1988-11-21,178.0,72.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE2NA==,1164,steve-lopez-1164,Steve Lopez,,1984-07-30,180.0,,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE2NQ==,1165,brendan-loughnane-1165,Brendan Loughnane,,1989-12-05,176.0,72.0,,Striker,Orthodox,England
RmlnaHRlck5vZGU6MTE2Ng==,1166,ian-loveland-1166,Ian Loveland,The Barn Owl,1983-09-07,173.0,28.0,,,,United States
RmlnaHRlck5vZGU6MTE2Nw==,1167,matt-lucas-1167,Matt Lucas,Luke Duke,,186.0,73.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTE2OA==,1168,mike-lullo-1168,Mike Lullo,,1979-07-24,173.0,70.0,,,,United States
